2021-04-20 05:12:35.288332 Current Ticker ESWAP: $ 1.136454 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:37.073604 Current Ticker ESWAP: $ 1.136614 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:38.855533 Current Ticker ESWAP: $ 1.136614 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:40.640266 Current Ticker ESWAP: $ 1.136613 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:42.416245 Current Ticker ESWAP: $ 1.136613 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:44.210749 Current Ticker ESWAP: $ 1.136613 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:45.993253 Current Ticker ESWAP: $ 1.136207 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:47.774841 Current Ticker ESWAP: $ 1.135369 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:49.560809 Current Ticker ESWAP: $ 1.134473 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:51.358682 Current Ticker ESWAP: $ 1.134473 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:53.136815 Current Ticker ESWAP: $ 1.134462 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:54.923323 Current Ticker ESWAP: $ 1.134463 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:56.706784 Current Ticker ESWAP: $ 1.134463 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:12:58.493426 Current Ticker ESWAP: $ 1.134463 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:13:00.269489 Current Ticker ESWAP: $ 1.134471 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:13:02.063728 Current Ticker ESWAP: $ 1.134472 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:13:03.854686 Current Ticker ESWAP: $ 1.134472 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:13:05.636634 Current Ticker ESWAP: $ 1.134472 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
2021-04-20 05:13:07.440647 Current Ticker ESWAP: $ 1.134472 | Buy Price: 1 | Take Profit: 10 | Stop Loss: Not Enabled | Current Reserves: 4022561182735.7563 BNB
